cuisine,restaurant_count
North Indian,12299
South Indian,5010
Cafe,4330
Chinese,3066
Biryani,3055
Fast Food,2592
Bakery,2175
Desserts,2150
Continental,1846
Beverages,1255
Andhra,1204
Ice Cream,918
Kerala,887
Street Food,841
Mithai,716
Finger Food,703
Italian,672
Pizza,652
Arabian,554
American,532
Burger,455
Healthy Food,451
Asian,410
Bengali,390
Seafood,379
Juices,375
Mughlai,300
Rolls,252
Mangalorean,248
European,246
Mexican,214
Tibetan,175
Tea,150
Salad,140
Thai,131
BBQ,120
Japanese,117
Modern Indian,113
Rajasthani,112
Mediterranean,108
Chettinad,102
Kebab,101
Sandwich,95
Hyderabadi,90
Maharashtrian,80
Goan,77
Momos,71
Lebanese,70
Oriya,61
North Eastern,51
Turkish,49
Bihari,47
Unknown,45
Steak,39
Korean,31
Vietnamese,29
Konkan,24
Nepalese,22
Parsi,21
Lucknowi,21
Awadhi,21
Spanish,17
Malaysian,16
Roast Chicken,15
Burmese,14
Kashmiri,13
African,13
Bar Food,12
Assamese,12
Coffee,11
Portuguese,11
South American,10
Gujarati,9
French,9
Tamil,7
Russian,6
Bohri,6
Sushi,6
Drinks Only,5
Australian,5
Middle Eastern,5
Naga,5
British,4
German,4
Iranian,4
Indonesian,3
Charcoal Chicken,3
Singaporean,1
Belgian,1
