location,avg_rating,restaurant_count
BTM,3.573740458015267,3930
Banashankari,3.6498655913978495,744
Banaswadi,3.4960416666666663,480
Bannerghatta Road,3.5074493927125503,1235
Basavanagudi,3.6710924369747904,595
Basaveshwara Nagar,3.6467153284671534,137
Bellandur,3.525691699604743,1012
Bommanahalli,3.1909722222222223,144
Brigade Road,3.705228136882129,1052
Brookefield,3.597614678899083,545
CV Raman Nagar,3.4786885245901638,61
Central Bangalore,3.625,8
Church Street,3.9921245421245417,546
City Market,3.5368421052631582,76
Commercial Street,3.5588888888888888,270
Cunningham Road,3.9010526315789473,475
Domlur,3.5511002444987776,409
East Bangalore,3.475,28
Ejipura,3.477692307692308,260
Electronic City,3.4909523809523813,840
Frazer Town,3.614912280701754,570
HBR Layout,3.676767676767677,99
HSR,3.6721644378405154,2019
Hebbal,3.6,8
Hennur,3.4939655172413793,116
Hosur Road,3.7902777777777774,72
"ITPL Main Road, Whitefield",3.5756410256410254,78
Indiranagar,3.82815376285869,1847
Infantry Road,3.7964285714285713,140
JP Nagar,3.675305765870705,1717
Jakkur,,0
Jalahalli,3.4869565217391307,23
Jayanagar,3.780279975654291,1643
Jeevan Bhima Nagar,3.5800796812749005,251
KR Puram,3.54,10
Kaggadasapura,3.5122222222222224,90
Kalyan Nagar,3.781948424068768,698
Kammanahalli,3.6674650698602798,501
Kanakapura Road,3.478947368421052,19
Kengeri,3.7222222222222223,9
Koramangala,3.7266666666666666,30
Koramangala 1st Block,3.6968309859154926,852
Koramangala 2nd Block,3.749425287356322,87
Koramangala 3rd Block,4.020418848167539,191
Koramangala 4th Block,3.918668252080856,841
Koramangala 5th Block,4.005821474773609,2319
Koramangala 6th Block,3.778087279480037,1077
Koramangala 7th Block,3.850377358490566,1060
Koramangala 8th Block,3.731896551724138,232
Kumaraswamy Layout,3.4645962732919253,161
Langford Town,3.8074074074074074,27
Lavelle Road,4.142505133470226,487
MG Road,3.8558569667077682,811
Magadi Road,3.4375,24
Majestic,3.501801801801802,111
Malleshwaram,3.759657320872274,642
Marathahalli,3.541926541926542,1443
Mysore Road,3.658823529411765,17
Nagarbhavi,3.4,1
Nagawara,3.5031847133757963,157
New BEL Road,3.688976377952756,508
North Bangalore,3.34,10
Old Airport Road,3.654189944134078,358
Old Madras Road,3.1818181818181817,22
Peenya,3.2,1
RT Nagar,3.4393442622950823,61
Race Course Road,3.7822222222222224,135
Rajajinagar,3.615401301518438,461
Rajarajeshwari Nagar,3.85,2
Rammurthy Nagar,3.3461538461538463,26
Residency Road,3.8636363636363638,605
Richmond Road,3.8205882352941174,612
Sadashiv Nagar,3.839655172413793,58
Sahakara Nagar,3.6333333333333333,45
Sanjay Nagar,3.5,48
Sankey Road,3.965384615384615,26
Sarjapur Road,3.6861431870669743,866
Seshadripuram,3.704929577464789,142
Shanti Nagar,3.5222826086956522,368
Shivajinagar,3.4989169675090253,277
South Bangalore,3.496629213483146,89
St. Marks Road,4.017201166180758,343
Thippasandra,3.537593984962406,133
Ulsoor,3.758303886925795,849
Uttarahalli,3.511111111111111,9
"Varthur Main Road, Whitefield",3.5674418604651166,86
Vasanth Nagar,3.6832653061224487,245
Vijay Nagar,3.6046875,64
West Bangalore,3.3666666666666667,3
Whitefield,3.621618204804045,1582
Wilson Garden,3.536363636363636,187
Yelahanka,3.6399999999999997,5
Yeshwantpur,3.5026785714285715,112
